Channel Title,Channel Username,ID,Message,Date,Media Path,Media Type,Views
NEVA COMPUTER®,@nevacomputer,8775,,2025-06-11T13:56:52+00:00,c:\Users\benke\Desktop\DataScience\10Academy\Kefiya_AI_Mastery\Week4\EthioMart\KAIM_W04_EthioMart_Amharic_Named_Entity_Recognition_System\data\raw\images\@nevacomputer_8775.jpg,photo,1068
NEVA COMPUTER®,@nevacomputer,8774,"LENOVO X1 YOGA
Processor: 11th‑Gen Intel Core i7‑1165G7 or i7‑1185G7 (4 cores/8 threads, 2.8–4.7 GHz Turbo, 12 MB cache)  
 • Memory: 16 GB LPDDR4x, soldered (non-upgradeable)  
 • Storage: 512 GB NVMe PCIe SSD  
 • Display: 14″ FHD+ (1920×1200) IPS, 400 nits, 10‑point multi-touch  
 • Graphics: Intel Iris Xe integrated  
 • Convertible Design: 360° hinge — use as laptop, tablet, tent, or stand  
 • Pen Included: Slim integrated stylus in chassis — ideal for note-taking or drawing  
 • Ports: 2× Thunderbolt 4 (USB4), 2× USB-A 3.2 (one Always-On), HDMI 2.0, audio jack, Kensington Nano security slot  
 • Security: TPM 2.0, fingerprint reader (integrated power button), optional IR camera + privacy shutter  
 • Build: Carbon-fiber reinforced chassis, MIL‑STD‑810H durability, ~14.99 mm thick, dimensions ~314 × 223 mm
📩@rasneva ለአጭር መልእክት
 ይደዉሉ ☎️
+251912759900
+251920153333",2025-06-11T13:56:52+00:00,c:\Users\benke\Desktop\DataScience\10Academy\Kefiya_AI_Mastery\Week4\EthioMart\KAIM_W04_EthioMart_Amharic_Named_Entity_Recognition_System\data\raw\images\@nevacomputer_8774.jpg,photo,1074
NEVA COMPUTER®,@nevacomputer,8773,,2025-06-11T13:56:52+00:00,c:\Users\benke\Desktop\DataScience\10Academy\Kefiya_AI_Mastery\Week4\EthioMart\KAIM_W04_EthioMart_Amharic_Named_Entity_Recognition_System\data\raw\images\@nevacomputer_8773.jpg,photo,1010
NEVA COMPUTER®,@nevacomputer,8772,"🔥 Acer Nitro 5 – Power Meets Performance

💻 Display
🖥️ 15.6” Full HD (1920×1080)
IPS Panel | 🎯 144Hz (smooth gameplay & crisp visuals)

⚙️ Processor
🧠 Intel Core i5 🔟th Generation
⚡ Strong performance for gaming, multitasking, and creative work

🎮 Graphics Card
🎨 NVIDIA GeForce RTX 3050 Ti
🕹️ 4GB GDDR6 – Play modern games like GTA V, FIFA, COD, Valorant, and more
✨ Real-time Ray Tracing & DLSS for stunning graphics

🧠 Memory (RAM)
💾 16GB DDR4 (Upgradeable to 32GB)
🚀 No lag while switching apps or working on heavy tasks

💽 Storage
🚀 512GB SSD – super-fast boot-up & game load time
➕ Option to add extra HDD or SSD

🧊 Cooling System
❄️ Dual-fan with Acer CoolBoost Technology
🌪️ Keeps your laptop cool during long gaming sessions

⌨️ Keyboard & Build
🔴 Red-backlit Keyboard – stylish & easy to game in low light
🟥 Bold, aggressive gaming design

🔌 Ports & Connectivity
📶 Wi-Fi 6 + Bluetooth 5.0
🔌 USB-C, HDMI, RJ-45 LAN, USB 3.2 ports

🔋 Battery Life
🔋 Up to 5 hours depending on use
⚡ Fast-charging with a 135W–180W power adapter

🔊 Audio
🔉 DTS:X Ultra | 3D Spatial Audio
🎧 Immersive sound for gaming and entertainment

⚖️ Weight
🧳 Around 2.3kg – tough yet portable for gamers

💡 Why Choose This Laptop?
The Acer Nitro 5 is not just a laptop – it’s a powerful, future-ready machine built for gamers, creators, students, and professionals alike. With its RTX 3050 Ti graphics, lightning-fast SSD, and a premium display, it delivers a performance that punches way above its price. Whether you’re editing videos, playing AAA games, or working on demanding software — this laptop can handle it all.
📩@rasneva ለአጭር መልእክት
 ይደዉሉ ☎️
+251912759900
+251920153333",2025-06-09T21:37:09+00:00,c:\Users\benke\Desktop\DataScience\10Academy\Kefiya_AI_Mastery\Week4\EthioMart\KAIM_W04_EthioMart_Amharic_Named_Entity_Recognition_System\data\raw\images\@nevacomputer_8772.jpg,photo,1279
NEVA COMPUTER®,@nevacomputer,8771,,2025-06-09T21:37:09+00:00,c:\Users\benke\Desktop\DataScience\10Academy\Kefiya_AI_Mastery\Week4\EthioMart\KAIM_W04_EthioMart_Amharic_Named_Entity_Recognition_System\data\raw\images\@nevacomputer_8771.jpg,photo,982
NEVA COMPUTER®,@nevacomputer,8770,"💼 Lenovo ThinkPad X1 Extreme Gen 2 – Power Meets Portability

🔧 Key Specifications:
 • 🧠 Processor: Intel® Core™ i7-9750H (6 cores, 12 threads, up to 4.5 GHz)
 • 🎮 Graphics: NVIDIA® GeForce® GTX 1650 Max-Q with 4GB GDDR5
 • 💾 Memory: 32GB DDR4 RAM (expandable up to 64GB)
 • 💽 Storage: 1TB PCIe NVMe SSD (supports dual M.2 drives)
 • 🖥️ Display: 15.6” Full HD (1920 x 1080) IPS, anti-glare, 300 nits
 • 🔋 Battery: 4-cell, 80Wh Li-ion, up to 6 hours of usage
 • ⚖️ Weight: Approximately 1.7 kg (3.75 lbs)    

🌟 Features:
 • 🔄 2-in-1 Convertible Design: Flexible 360-degree hinge for laptop, tablet, tent, or stand modes
 • 🌐 Connectivity: Wi-Fi 6 (802.11ax), Bluetooth® 5.0
 • 🔌 Ports: 2 x USB-A 3.1 Gen 1, 2 x Thunderbolt™ 3 (USB-C), HDMI 2.0, SD card reader
 • 🔐 Security: Fingerprint reader, IR camera with ThinkShutter privacy cover
 • 🎧 Audio: Dolby Atmos® speaker system for immersive sound   

🧠 Ideal Use Cases:
 • 👨‍💼 Professionals: Robust performance for multitasking and demanding applications
 • 🎨 Creatives: Powerful GPU and high-quality display for design and editing tasks
 • 🎮 Gamers: Capable of handling modern games at medium to high settings
 • 🎓 Students: Lightweight and durable for on-the-go learning and projects
📩@rasneva ለአጭር መልእክት
 ይደዉሉ ☎️
+251912759900
+251920153333",2025-06-04T08:36:54+00:00,c:\Users\benke\Desktop\DataScience\10Academy\Kefiya_AI_Mastery\Week4\EthioMart\KAIM_W04_EthioMart_Amharic_Named_Entity_Recognition_System\data\raw\images\@nevacomputer_8770.jpg,photo,1842
NEVA COMPUTER®,@nevacomputer,8769,,2025-06-04T08:36:54+00:00,c:\Users\benke\Desktop\DataScience\10Academy\Kefiya_AI_Mastery\Week4\EthioMart\KAIM_W04_EthioMart_Amharic_Named_Entity_Recognition_System\data\raw\images\@nevacomputer_8769.jpg,photo,1809
NEVA COMPUTER®,@nevacomputer,8768,,2025-06-04T08:36:54+00:00,c:\Users\benke\Desktop\DataScience\10Academy\Kefiya_AI_Mastery\Week4\EthioMart\KAIM_W04_EthioMart_Amharic_Named_Entity_Recognition_System\data\raw\images\@nevacomputer_8768.jpg,photo,1442
NEVA COMPUTER®,@nevacomputer,8767,"HP Envy x360 14” (14-es1013dx) – Sleek 2-in-1 Convertible Laptop

🔧 Key Specifications:
 • 🧠 Processor: Intel® Core™ 5-120U (10 cores, 12 threads, up to 5.0 GHz)
 • 🧵 Memory: 8GB DDR4-3200 MHz (onboard)
 • 💽 Storage: 1TB PCIe® NVMe™ M.2 SSD
 • 🖥️ Display: 14” FHD (1920x1080) IPS Touchscreen, 300 nits, 62.5% sRGB
 • 🎮 Graphics: Intel® Iris® Xe Integrated
 • 🪟 OS: Windows 11 Home
 • 🔋 Battery: 3-cell, 43 Wh Li-ion
 • ⚖️ Weight: Approx. 1.52 kg (3.35 lbs)
 • 🎨 Color: Natural Silver Aluminum

⸻

🌟 Top Features:
 • 🔄 2-in-1 Convertible Design – Use as laptop, tablet, tent, or stand
 • 🌙 Backlit Keyboard – Comfort in all lighting
 • 🔐 Fingerprint Reader – Fast & secure login
 • 📸 HP True Vision 5MP Camera – Clear video calls with noise reduction
 • 🔊 Poly Studio Audio – Dual speakers with HP Audio Boost
 • 🌐 Connectivity: Wi-Fi 6E & Bluetooth® 5.3
 • 🧩 Ports:
 • 🔌 1x USB-C (10Gbps, DisplayPort™, PD, Sleep & Charge)
 • 🧷 2x USB-A (5Gbps)
 • 📺 1x HDMI 2.1
 • 🎧 1x Headphone/Mic Combo
 • 💾 1x MicroSD Card Reader
 • 🔋 1x AC Smart Pin

⸻

🧠 Ideal Use Cases:
 • 🎓 Students & Professionals: Light, fast, and ideal for mobility, presentations, and study
 • 🧑‍🎨 Content Creators: Touchscreen & hinge perfect for design, sketching, and editing
 • 🎬 Entertainment: Enjoy shows, movies, and music in Full HD with rich sound
 • 🌐 Everyday Use: Reliable for browsing, emails, documents & multitasking

📩@rasneva ለአጭር መልእክት
 ይደዉሉ ☎️
+251912759900
+251920153333",2025-06-04T06:06:15+00:00,c:\Users\benke\Desktop\DataScience\10Academy\Kefiya_AI_Mastery\Week4\EthioMart\KAIM_W04_EthioMart_Amharic_Named_Entity_Recognition_System\data\raw\images\@nevacomputer_8767.jpg,photo,1607
NEVA COMPUTER®,@nevacomputer,8766,,2025-06-04T06:06:15+00:00,c:\Users\benke\Desktop\DataScience\10Academy\Kefiya_AI_Mastery\Week4\EthioMart\KAIM_W04_EthioMart_Amharic_Named_Entity_Recognition_System\data\raw\images\@nevacomputer_8766.jpg,photo,1691
